"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","gui","/Users/cuenc/Documents/PF2-Project/src/gui/JWelcome.java","3","1","Too many static imports may lead to messy code","Code Style","TooManyStaticImports"
"2","model","/Users/cuenc/Documents/PF2-Project/src/model/DisplayField.java","3","27","Possible unsafe assignment to a non-final static field in a constructor.","Error Prone","AssignmentToNonFinalStatic"
"3","model","/Users/cuenc/Documents/PF2-Project/src/model/Field.java","4","3","Avoid unused imports such as 'java.util.ArrayList'","Best Practices","UnusedImports"
"4","model","/Users/cuenc/Documents/PF2-Project/src/model/Field.java","3","15","The class 'Field' has a total cyclomatic complexity of 102 (highest 17).","Design","CyclomaticComplexity"
"5","model","/Users/cuenc/Documents/PF2-Project/src/model/Field.java","1","22","The constant name 'cells' doesn't match '[A-Z][A-Z_0-9]*'","Code Style","FieldNamingConventions"
"6","model","/Users/cuenc/Documents/PF2-Project/src/model/Field.java","3","388","The method 'isValidPlacementForShip(int, int, int, String, boolean)' has a cyclomatic complexity of 17.","Design","CyclomaticComplexity"
"7","model","/Users/cuenc/Documents/PF2-Project/src/model/Game.java","3","1","This class has a bunch of public methods and attributes","Design","ExcessivePublicCount"
"8","model","/Users/cuenc/Documents/PF2-Project/src/model/Game.java","3","13","Avoid really long classes.","Design","ExcessiveClassLength"
"9","model","/Users/cuenc/Documents/PF2-Project/src/model/Game.java","3","13","Possible God Class (WMC=153, ATFD=64, TCC=20.124%)","Design","GodClass"
"10","model","/Users/cuenc/Documents/PF2-Project/src/model/Game.java","3","13","The class 'Game' has a total cyclomatic complexity of 153 (highest 11).","Design","CyclomaticComplexity"
"11","model","/Users/cuenc/Documents/PF2-Project/src/model/Game.java","3","13","This class has too many methods, consider refactoring it.","Design","TooManyMethods"
"12","model","/Users/cuenc/Documents/PF2-Project/src/model/Game.java","3","13","Too many fields","Design","TooManyFields"
"13","model","/Users/cuenc/Documents/PF2-Project/src/model/Game.java","3","14","Perhaps 'playersNumber' could be replaced by a local variable.","Design","SingularField"
"14","model","/Users/cuenc/Documents/PF2-Project/src/model/Game.java","1","39","The constant name 'name' doesn't match '[A-Z][A-Z_0-9]*'","Code Style","FieldNamingConventions"
"15","model","/Users/cuenc/Documents/PF2-Project/src/model/Game.java","3","49","Avoid unused private fields such as 'shipsShot'.","Best Practices","UnusedPrivateField"
"16","model","/Users/cuenc/Documents/PF2-Project/src/model/Game.java","3","50","Avoid unused private fields such as 'coordinates'.","Best Practices","UnusedPrivateField"
"17","model","/Users/cuenc/Documents/PF2-Project/src/model/Game.java","3","79","Avoid unused constructor parameters such as 'scannerino'.","Best Practices","UnusedFormalParameter"
"18","model","/Users/cuenc/Documents/PF2-Project/src/model/Game.java","3","79","Document empty constructor","Documentation","UncommentedEmptyConstructor"
"19","model","/Users/cuenc/Documents/PF2-Project/src/model/Game.java","3","89","Possible unsafe assignment to a non-final static field in a constructor.","Error Prone","AssignmentToNonFinalStatic"
"20","model","/Users/cuenc/Documents/PF2-Project/src/model/Game.java","3","90","Possible unsafe assignment to a non-final static field in a constructor.","Error Prone","AssignmentToNonFinalStatic"
"21","model","/Users/cuenc/Documents/PF2-Project/src/model/Game.java","3","170","The method 'welcomingInstructions(Scanner)' has a cyclomatic complexity of 11.","Design","CyclomaticComplexity"
"22","model","/Users/cuenc/Documents/PF2-Project/src/model/Game.java","4","248","Useless parentheses.","Code Style","UselessParentheses"
"23","model","/Users/cuenc/Documents/PF2-Project/src/model/Game.java","3","271","Avoid unnecessary comparisons in boolean expressions","Design","SimplifyBooleanExpressions"
"24","model","/Users/cuenc/Documents/PF2-Project/src/model/Game.java","3","295","The String literal 'Current Score: ' appears 5 times in this file; the first occurrence is on line 295","Error Prone","AvoidDuplicateLiterals"
"25","model","/Users/cuenc/Documents/PF2-Project/src/model/Game.java","3","320","Avoid unnecessary comparisons in boolean expressions","Design","SimplifyBooleanExpressions"
"26","model","/Users/cuenc/Documents/PF2-Project/src/model/Game.java","3","343","Avoid unnecessary comparisons in boolean expressions","Design","SimplifyBooleanExpressions"
"27","model","/Users/cuenc/Documents/PF2-Project/src/model/Game.java","3","367","Avoid unnecessary comparisons in boolean expressions","Design","SimplifyBooleanExpressions"
"28","model","/Users/cuenc/Documents/PF2-Project/src/model/Game.java","3","393","Avoid unnecessary comparisons in boolean expressions","Design","SimplifyBooleanExpressions"
"29","model","/Users/cuenc/Documents/PF2-Project/src/model/Game.java","3","433","The String literal 'Player' appears 4 times in this file; the first occurrence is on line 433","Error Prone","AvoidDuplicateLiterals"
"30","model","/Users/cuenc/Documents/PF2-Project/src/model/Game.java","3","447","Comment is too large: Line too long","Documentation","CommentSize"
"31","model","/Users/cuenc/Documents/PF2-Project/src/model/Game.java","3","457","Comment is too large: Line too long","Documentation","CommentSize"
"32","model","/Users/cuenc/Documents/PF2-Project/src/model/Game.java","3","519","The String literal 'Second AI' appears 4 times in this file; the first occurrence is on line 519","Error Prone","AvoidDuplicateLiterals"
"33","model","/Users/cuenc/Documents/PF2-Project/src/model/Game.java","3","559","Switch statements should have a default label","Best Practices","SwitchStmtsShouldHaveDefault"
"34","model","/Users/cuenc/Documents/PF2-Project/src/model/Game.java","3","603","Avoid unnecessary comparisons in boolean expressions","Design","SimplifyBooleanExpressions"
"35","model","/Users/cuenc/Documents/PF2-Project/src/model/Game.java","3","622","Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block","Design","AvoidCatchingGenericException"
"36","model","/Users/cuenc/Documents/PF2-Project/src/model/Game.java","3","639","Avoid unnecessary comparisons in boolean expressions","Design","SimplifyBooleanExpressions"
"37","model","/Users/cuenc/Documents/PF2-Project/src/model/Game.java","3","662","Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block","Design","AvoidCatchingGenericException"
"38","model","/Users/cuenc/Documents/PF2-Project/src/model/Game.java","3","751","Linguistics Antipattern - The getter 'getAiShipSymbol' should not return void linguistically","Code Style","LinguisticNaming"
"39","model","/Users/cuenc/Documents/PF2-Project/src/model/Game.java","3","759","Linguistics Antipattern - The getter 'getAiShipSymbol' should not return void linguistically","Code Style","LinguisticNaming"
"40","model","/Users/cuenc/Documents/PF2-Project/src/model/Game.java","3","762","Avoid unnecessary comparisons in boolean expressions","Design","SimplifyBooleanExpressions"
"41","model","/Users/cuenc/Documents/PF2-Project/src/model/Game.java","3","763","The String literal 'What symbol do you want to use for your ships?' appears 4 times in this file; the first occurrence is on line 763","Error Prone","AvoidDuplicateLiterals"
"42","model","/Users/cuenc/Documents/PF2-Project/src/model/Game.java","3","766","The String literal 'Please enter a single character input.' appears 4 times in this file; the first occurrence is on line 766","Error Prone","AvoidDuplicateLiterals"
"43","model","/Users/cuenc/Documents/PF2-Project/src/model/Game.java","3","780","Linguistics Antipattern - The getter 'getPlayerShipSymbol' should not return void linguistically","Code Style","LinguisticNaming"
"44","model","/Users/cuenc/Documents/PF2-Project/src/model/Game.java","3","783","Avoid unnecessary comparisons in boolean expressions","Design","SimplifyBooleanExpressions"
"45","model","/Users/cuenc/Documents/PF2-Project/src/model/Game.java","3","801","Linguistics Antipattern - The getter 'getSecondPlayerShipSymbol' should not return void linguistically","Code Style","LinguisticNaming"
"46","model","/Users/cuenc/Documents/PF2-Project/src/model/Game.java","3","804","Avoid unnecessary comparisons in boolean expressions","Design","SimplifyBooleanExpressions"
"47","model","/Users/cuenc/Documents/PF2-Project/src/model/Game.java","3","823","Linguistics Antipattern - The getter 'getSecondAiShipSymbol' should not return void linguistically","Code Style","LinguisticNaming"
"48","model","/Users/cuenc/Documents/PF2-Project/src/model/Game.java","3","826","Avoid unnecessary comparisons in boolean expressions","Design","SimplifyBooleanExpressions"
"49","model","/Users/cuenc/Documents/PF2-Project/src/model/Game.java","3","842","Comment is too large: Line too long","Documentation","CommentSize"
"50","model","/Users/cuenc/Documents/PF2-Project/src/model/Game.java","3","845","Linguistics Antipattern - The getter 'getSecondAiShipSymbol' should not return void linguistically","Code Style","LinguisticNaming"
"51","model","/Users/cuenc/Documents/PF2-Project/src/model/Game.java","3","890","The String literal ' to ' appears 6 times in this file; the first occurrence is on line 890","Error Prone","AvoidDuplicateLiterals"
"52","model","/Users/cuenc/Documents/PF2-Project/src/model/Game.java","3","952","Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block","Design","AvoidCatchingGenericException"
"53","model","/Users/cuenc/Documents/PF2-Project/src/model/Game.java","3","991","Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block","Design","AvoidCatchingGenericException"
"54","model","/Users/cuenc/Documents/PF2-Project/src/model/Player.java","3","17","The class 'Player' has a total cyclomatic complexity of 83 (highest 10).","Design","CyclomaticComplexity"
"55","model","/Users/cuenc/Documents/PF2-Project/src/model/Player.java","3","23","This final field could be made static","Design","FinalFieldCouldBeStatic"
"56","model","/Users/cuenc/Documents/PF2-Project/src/model/Player.java","3","41","It is a good practice to call super() in a constructor","Code Style","CallSuperInConstructor"
"57","model","/Users/cuenc/Documents/PF2-Project/src/model/Player.java","3","49","It is a good practice to call super() in a constructor","Code Style","CallSuperInConstructor"
"58","model","/Users/cuenc/Documents/PF2-Project/src/model/Player.java","3","153","Avoid unused local variables such as 'col'.","Best Practices","UnusedLocalVariable"
"59","model","/Users/cuenc/Documents/PF2-Project/src/model/Player.java","3","156","Avoid unnecessary comparisons in boolean expressions","Design","SimplifyBooleanExpressions"
"60","model","/Users/cuenc/Documents/PF2-Project/src/model/Player.java","3","162","The String literal 'Invalid input. Please enter a number between 0 and 9.' appears 4 times in this file; the first occurrence is on line 162","Error Prone","AvoidDuplicateLiterals"
"61","model","/Users/cuenc/Documents/PF2-Project/src/model/Player.java","3","193","Avoid unused local variables such as 'row'.","Best Practices","UnusedLocalVariable"
"62","model","/Users/cuenc/Documents/PF2-Project/src/model/Player.java","3","197","Avoid unnecessary comparisons in boolean expressions","Design","SimplifyBooleanExpressions"
"63","model","/Users/cuenc/Documents/PF2-Project/src/model/Player.java","3","234","Avoid unused local variables such as 'col'.","Best Practices","UnusedLocalVariable"
"64","model","/Users/cuenc/Documents/PF2-Project/src/model/Player.java","3","237","Avoid unnecessary comparisons in boolean expressions","Design","SimplifyBooleanExpressions"
"65","model","/Users/cuenc/Documents/PF2-Project/src/model/Player.java","3","243","The String literal 'Invalid input.' appears 8 times in this file; the first occurrence is on line 243","Error Prone","AvoidDuplicateLiterals"
"66","model","/Users/cuenc/Documents/PF2-Project/src/model/Player.java","3","273","Avoid unused local variables such as 'col'.","Best Practices","UnusedLocalVariable"
